1118847	sdim	71 280 486 557 473 362 247 246 231 269 312 291 282 260 275 275 314 315 311 238 230 210 237 264 253 169 148 91 45 45 59 82 61 73 52 37 41 47 55 60 58 55 60 73 89 72 106 135 192 192 168 295 274 227 145 88 72 106 74 53 34 19 12 30 16 12 20 10 29 46 61 87 65 56 38 32 50 59 79 59 63 74 58 45 44 42 27 41 38 10 24 11 10 14 4 11 3 2 0 0 32 4 6 3 1 3 7 4 6 0 2 1 1 3 2 1 2 5 0 3 0 5 3 2 5 3 1 0 3 0 4 4 2 0 2 3 1 0 0 1 0 0 0 0 0 0 0 0 3 1 0 1 0 0 0 0 1 3 7 18 23 20 16 27 26 24 13 4 3 2 9 1 1 3 1 1 0 3 0 1 0 0 0 0 0 0 1 0 1 2 0 2 3 3 5 6 6 2 4 4 
1118847	0.00337659 0.033	0.0466736 0.0468704 0.0676975 0.1652 0.179046 0.223123 0.315819 0.396282 0.409196 0.461026 0.598976 0.642277 0.660491 0.711918 0.768721 0.812794 0.822676 0.853429 0.874101 0.891313 0.907979 0.925982 0.933226 0.940205 0.945555 0.956742 0.966714 0.967919 0.969361 0.974179 0.983979 0.985009 0.986321 0.986982 0.992903 0.993938 0.994192 0.994465 0.997158 0.997457 0.997752 0.997875 0.998358 0.998869 0.998919 
217320	sdim	7 3 8 16 19 18 21 17 20 21 15 13 3 10 7 9 5 7 9 4 7 11 9 7 11 13 8 8 7 5 6 8 9 14 12 8 14 11 14 8 12 14 6 7 5 6 3 8 8 6 9 6 7 10 8 6 6 5 13 2 3 4 7 4 2 6 7 3 6 7 3 4 7 2 3 2 3 2 3 5 3 3 3 0 4 3 1 3 2 2 4 4 2 2 4 2 3 2 3 2 4 3 1 1 1 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
217320	0.0157504 0.04	0.0271104 0.0343643 0.0703631 0.101839 0.11675 0.139568 0.192264 0.226634 0.238275 0.284136 0.319794 0.342972 0.368769 0.399599 0.424274 0.453231 0.484487 0.506133 0.534433 0.569116 0.596314 0.616799 0.651633 0.684456 0.706458 0.727794 0.761874 0.780053 0.794503 0.821546 0.841249 0.852329 0.863564 0.881256 0.891017 0.901242 0.90761 0.918013 0.925565 0.93083 0.935635 0.941899 0.945876 0.950743 0.955575 
4324048	sdim	0 0 0 0 5 6 14 25 20 29 36 43 26 39 33 23 20 16 10 16 16 24 10 13 18 22 14 10 12 12 17 14 29 26 22 15 11 17 33 27 18 16 11 17 20 15 15 14 11 18 12 18 12 18 18 18 12 11 18 10 12 8 11 12 12 13 14 13 16 9 7 6 7 9 5 5 6 2 6 5 6 0 1 2 2 0 3 4 2 2 1 1 3 5 6 4 2 5 3 8 2 1 7 3 5 2 2 1 1 0 1 1 2 0 0 0 1 2 0 1 0 0 0 1 1 1 0 0 0 0 0 1 2 2 0 1 2 1 1 2 0 0 0 4 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4324048	0.0180705 0.049	0.0622049 0.118285 0.139279 0.155549 0.178001 0.18924 0.205643 0.22808 0.236191 0.256305 0.274539 0.287494 0.308794 0.324901 0.336235 0.356979 0.371988 0.383491 0.399055 0.419803 0.431495 0.451043 0.472318 0.498059 0.519393 0.532693 0.559418 0.579268 0.588452 0.603731 0.617747 0.62383 0.636142 0.647288 0.654519 0.667804 0.683467 0.693026 0.705712 0.731711 0.749844 0.76309 0.793371 0.820639 0.835017 
550168	sdim	1 5 6 2 1 0 1 3 4 4 5 6 5 5 9 5 10 5 7 8 10 5 7 9 5 4 3 4 2 3 4 2 3 3 2 1 5 5 2 4 6 6 6 9 7 7 4 11 7 8 12 10 14 3 2 1 2 2 0 3 0 0 3 0 2 0 0 1 1 1 1 3 0 1 3 2 0 1 0 2 3 5 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
550168	0.0145209 0.035	0.111039 0.111039 0.173595 0.282905 0.313541 0.388961 0.426383 0.502826 0.529112 0.568691 0.624758 0.655395 0.668203 0.690605 0.712745 0.750837 0.76028 0.776156 0.791549 0.809972 0.820345 0.8481 0.860741 0.868289 0.874888 0.886117 0.906547 0.912682 0.916846 0.923018 0.932183 0.936682 0.939136 0.943765 0.948728 0.952948 0.954863 0.959808 0.963173 0.966631 0.968824 0.971464 0.974773 0.977153 0.97864 
72607	sdim	0 1 10 11 19 12 6 9 9 14 16 29 23 22 17 13 8 12 8 11 11 11 18 10 12 12 13 12 8 9 8 12 6 13 15 14 9 6 6 10 17 13 12 22 9 12 14 11 17 20 20 18 17 25 15 22 24 21 15 13 8 8 4 8 4 6 8 7 5 4 4 3 1 3 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 3 2 1 0 3 3 3 1 0 3 4 5 2 2 4 1 4 4 4 2 1 3 8 5 3 4 10 1 4 3 2 3 5 3 2 2 2 1 1 1 3 6 3 2 0 3 1 0 1 2 2 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 
72607	0.0279209 0.049	0.0363003 0.0434699 0.0594096 0.0924038 0.111912 0.139214 0.154894 0.1915 0.203137 0.245385 0.258678 0.287552 0.299255 0.318014 0.344207 0.364 0.373676 0.379788 0.407558 0.422022 0.427193 0.430269 0.446028 0.46446 0.468489 0.471739 0.482453 0.501495 0.506328 0.514298 0.528664 0.541795 0.561387 0.578959 0.597413 0.614149 0.647305 0.679429 0.700384 0.715607 0.748451 0.789554 0.816199 0.825944 0.846588 
